laser1, laser2, laser3, laser4, robot_z
164.9593048095703, 182.1443328857422, 166.994873046875, 187.20460510253906, -2279.5625
164.9578094482422, 182.12648010253906, 166.98519897460938, 187.20387268066406, -2279.56201171875
164.95205688476562, 182.12242126464844, 166.97537231445312, 187.20326232910156, -2279.562255859375
164.95565795898438, 182.10736083984375, 166.96426391601562, 187.2022247314453, -2279.5625
164.95469665527344, 182.10057067871094, 166.9568328857422, 187.19993591308594, -2279.56201171875
164.95291137695312, 182.09518432617188, 166.9526824951172, 187.1971893310547, -2279.56201171875
164.9539337158203, 182.09507751464844, 166.9511260986328, 187.19387817382812, -2279.561279296875
164.96282958984375, 182.0925750732422, 166.9474639892578, 187.18850708007812, -2279.560302734375
164.9630584716797, 182.0945281982422, 166.9458770751953, 187.1829071044922, -2279.547607421875
164.978271484375, 182.098876953125, 166.9550018310547, 187.18142700195312, -2279.5322265625
164.98782348632812, 182.11398315429688, 166.97174072265625, 187.18617248535156, -2279.520263671875
165.00022888183594, 182.12530517578125, 166.9833984375, 187.20005798339844, -2279.513671875
165.0263214111328, 182.15838623046875, 166.96856689453125, 187.21592712402344, -2279.5185546875
165.07989501953125, 182.21298217773438, 166.99569702148438, 187.23484802246094, -2279.537841796875
165.15402221679688, 182.3562774658203, 167.08026123046875, 187.25234985351562, -2279.56298828125
165.24061584472656, 182.40086364746094, 167.15579223632812, 187.2639923095703, -2279.593505859375
165.364013671875, 182.50363159179688, 167.2575225830078, 187.26727294921875, -2279.630615234375
165.4418182373047, 182.62652587890625, 167.46087646484375, 187.24417114257812, -2279.683349609375
165.5955352783203, 182.86184692382812, 167.75930786132812, 187.19583129882812, -2279.748046875
165.771484375, 182.96743774414062, 168.1025390625, 187.13812255859375, -2279.82666015625
165.85240173339844, 183.11927795410156, 168.39381408691406, 187.11476135253906, -2279.920166015625
166.04270935058594, 183.2257843017578, 168.77349853515625, 187.08187866210938, -2280.021728515625
166.1956787109375, 183.32286071777344, 169.14096069335938, 187.01791381835938, -2280.13232421875
166.2353057861328, 183.4512176513672, 169.54678344726562, 186.89295959472656, -2280.253173828125
166.365966796875, 183.55426025390625, 169.8737335205078, 186.74729919433594, -2280.376708984375
166.47598266601562, 183.52330017089844, 170.21630859375, 186.61122131347656, -2280.50634765625
166.46522521972656, 183.55694580078125, 170.5220947265625, 186.46612548828125, -2280.638916015625
166.46292114257812, 183.50250244140625, 170.7653045654297, 186.2548828125, -2280.776123046875
166.44305419921875, 183.44802856445312, 171.0078582763672, 186.029296875, -2280.917236328125
166.33212280273438, 183.29861450195312, 171.19378662109375, 185.78236389160156, -2281.06298828125
166.2713623046875, 183.20359802246094, 171.32505798339844, 185.55899047851562, -2281.21533203125
166.12710571289062, 183.00311279296875, 171.40579223632812, 185.2889862060547, -2281.375732421875
166.0705108642578, 182.82467651367188, 171.44334411621094, 184.97805786132812, -2281.54248046875
165.89332580566406, 182.6504669189453, 171.4915313720703, 184.6343994140625, -2281.715087890625
165.76388549804688, 182.42025756835938, 171.51889038085938, 184.31105041503906, -2281.8974609375
165.5985107421875, 182.15138244628906, 171.54092407226562, 183.97479248046875, -2282.089111328125
165.47894287109375, 181.93934631347656, 171.56045532226562, 183.5872039794922, -2282.28564453125
165.33045959472656, 181.72650146484375, 171.6079559326172, 183.1861572265625, -2282.4873046875
165.2667236328125, 181.51300048828125, 171.6859130859375, 182.8245086669922, -2282.698974609375
165.13479614257812, 181.3397216796875, 171.8109130859375, 182.3916778564453, -2282.917724609375
165.10072326660156, 181.21697998046875, 171.96743774414062, 181.93272399902344, -2283.140869140625
164.9700164794922, 181.05120849609375, 172.1731414794922, 181.52816772460938, -2283.366455078125
164.9450225830078, 180.81216430664062, 172.420654296875, 181.08554077148438, -2283.599853515625
164.84385681152344, 180.58596801757812, 172.6452178955078, 180.64328002929688, -2283.83837890625
164.7455596923828, 180.37167358398438, 172.8306884765625, 180.26870727539062, -2284.08447265625
164.59124755859375, 180.29441833496094, 172.97572326660156, 179.8344268798828, -2284.331298828125
164.54502868652344, 180.03993225097656, 173.11204528808594, 179.4622039794922, -2284.57958984375
164.39271545410156, 179.79544067382812, 173.21226501464844, 179.0864715576172, -2284.83251953125
