laser1, laser2, laser3, laser4, robot_z
164.8538055419922, 182.00733947753906, 166.90553283691406, 187.06983947753906, -2279.6103515625
164.8492431640625, 181.9972686767578, 166.8898468017578, 187.0696563720703, -2279.6103515625
164.87107849121094, 181.99166870117188, 166.8750457763672, 187.0707550048828, -2279.610595703125
164.85275268554688, 181.9906768798828, 166.86264038085938, 187.0727081298828, -2279.6103515625
164.8497314453125, 181.98919677734375, 166.85902404785156, 187.07550048828125, -2279.610107421875
164.86781311035156, 181.99244689941406, 166.86253356933594, 187.07891845703125, -2279.610107421875
164.86460876464844, 181.99273681640625, 166.86830139160156, 187.08233642578125, -2279.61083984375
164.87400817871094, 181.99935913085938, 166.8712615966797, 187.08265686035156, -2279.607177734375
164.87754821777344, 182.00418090820312, 166.86917114257812, 187.0823974609375, -2279.593994140625
164.88267517089844, 182.0120086669922, 166.8634796142578, 187.08477783203125, -2279.574951171875
164.9038543701172, 182.02952575683594, 166.86105346679688, 187.093994140625, -2279.561279296875
164.91075134277344, 182.04554748535156, 166.8806915283203, 187.10372924804688, -2279.55419921875
164.92384338378906, 182.07965087890625, 166.91213989257812, 187.11724853515625, -2279.555419921875
164.9993133544922, 182.13587951660156, 166.92205810546875, 187.13491821289062, -2279.573486328125
165.084716796875, 182.29469299316406, 167.0098876953125, 187.15476989746094, -2279.59765625
165.18309020996094, 182.33094787597656, 167.11367797851562, 187.16598510742188, -2279.625
165.28616333007812, 182.45614624023438, 167.24855041503906, 187.14663696289062, -2279.66162109375
165.38218688964844, 182.6051483154297, 167.44873046875, 187.0991973876953, -2279.7119140625
165.5377655029297, 182.78330993652344, 167.74900817871094, 187.06976318359375, -2279.77587890625
165.68707275390625, 182.89797973632812, 168.06631469726562, 187.0478973388672, -2279.85302734375
165.74227905273438, 183.02369689941406, 168.38430786132812, 187.01937866210938, -2279.9453125
166.02249145507812, 183.1552734375, 168.75515747070312, 186.9698944091797, -2280.04638671875
166.15255737304688, 183.2908172607422, 169.16055297851562, 186.88169860839844, -2280.155517578125
166.26303100585938, 183.4187774658203, 169.53262329101562, 186.75283813476562, -2280.275146484375
166.31979370117188, 183.4833984375, 169.89501953125, 186.6191864013672, -2280.399658203125
166.4264373779297, 183.50245666503906, 170.21673583984375, 186.49960327148438, -2280.528076171875
166.40626525878906, 183.4914093017578, 170.50186157226562, 186.3212127685547, -2280.66064453125
166.3782958984375, 183.41641235351562, 170.79098510742188, 186.12425231933594, -2280.795654296875
166.3516387939453, 183.4163055419922, 170.989013671875, 185.9093017578125, -2280.934814453125
